cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
26050,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE,UNIFIQUE TELECOMUNICAÇÕES S.A.,cvm_code,1.0,,
26077,TC S.A.,TRAD,TC S.A.,cvm_code,1.0,,
26158,ESSENTIA PCHS S.A.,CGBP,ESSENTIA PCHS S.A,cvm_code,1.0,,
26166,GRUPO FARTURA DE HORTIFRUT S.A,OBAH,GRUPO FARTURA DE HORTIFRUT S/A,cvm_code,1.0,,
26174,AUREN OPERAÇÕES S.A.,AESO,AUREN OPERAÇÕES S.A.,cvm_code,1.0,,
26204,BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A,BFFT,BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES S.A,cvm_code,1.0,,
26255,TIGRE S.A. PARTICIPAÇÕES,TIGR,TIGRE S.A. PARTICIPAÇÕES,cvm_code,1.0,,
26271,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,EESG,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,cvm_code,1.0,,
26280,COMERC ENERGIA S.A.,COMR,COMERC ENERGIA S.A.,cvm_code,1.0,,
26328,MONTE RODOVIAS S.A.,MRHP,MONTE RODOVIAS HOLDING E PARTICIPAÇÕES SOCIETÁRIAS,cnpj,1.0,,
26352,RODOVIAS DO BRASIL HOLDING S.A.,RODB,RODOVIAS DO BRASIL HOLDING S.A.,cvm_code,1.0,,
26379,MADERO INDÚSTRIA E COMÉRCIO S.A.,MDRO,MADERO INDUSTRIA E COMERCIO S.A.,cvm_code,1.0,,
26395,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,ALMJ,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,cnpj,1.0,,
26409,VERO S.A.,VERO,VERO S.A.,cvm_code,1.0,,
26441,SERENA ENERGIA S.A.,SRNA,SERENA ENERGIA S.A.,cvm_code,1.0,,
26468,HOSPITAL ANCHIETA S.A.,HSPA,HOSPITAL ANCHIETA S.A.,cvm_code,1.0,,
26514,ASA BRANCA HOLDING S.A.,ASAB,ASA BRANCA HOLDING S.A.,cvm_code,1.0,,
26522,CERRADINHO BIOENERGIA S.A.,CERR,CERRADINHO BIOENERGIA S.A.,cvm_code,1.0,,
26565,HOLDING DO ARAGUAIA S.A.,HARG,HOLDING DO ARAGUAIA S.A,cvm_code,1.0,,
26590,AURA ALMAS MINERAÇÃO S.A.,AALM,AURA ALMAS MINERAÇÃO S.A.,cvm_code,1.0,,
26603,GSH CORP PARTICIPAÇÕES S.A.,GSHC,GSH CORP PARTICIPACOES S.A.,cvm_code,1.0,,
26697,FOZ DO RIO CLARO ENERGIA S.A.,FZRC,FOZ DO RIO CLARO ENERGIA S.A.,cvm_code,1.0,,
26700,EUROFARMA LABORATËRIOS S.A.,EUFA,EUROFARMA LABORATORIOS S.A,cvm_code,1.0,,
26867,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.,UQUF,UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,cvm_code,1.0,,
26956,OCEÂNICA ENGENHARIA E CONSULTORIA S.A.,OCEA,OCEÂNICA ENGENHARIA E CONSULTORIA S.A.,cvm_code,1.0,,
26980,BORRACHAS VIPAL S.A.,BVPL,BORRACHAS VIPAL S.A.,cvm_code,1.0,,
27022,BRASIL TELECOM,BTEL,V. TAL  REDE NEUTRA DE TELECOMUNICAÇÕES S.A.,cvm_code,1.0,,
27049,ORIZON MEIO AMBIENTE S.A.,ORMA,ORIZON MEIO AMBIENTE S.A.,cvm_code,1.0,,
27057,VITRU EDUCAÇÃO S.A.,VTRU,VITRU EDUCAÇÃO S.A,cvm_code,1.0,,
27073,SOLVI ESSENCIS AMBIENTAL S.A.,SVEA,SOLVI ESSENCIS AMBIENTAL S.A.,cvm_code,1.0,,
27090,TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.,TBSP,TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.,cvm_code,1.0,,
27103,CHINA THREE GORGES BRASIL ENERGIA S.A.,CHTH,CHINA THREE GORGES BRASIL ENERGIA S.A.,cvm_code,1.0,,
27154,CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G,CGEE,CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA-CEEE-G,cvm_code,1.0,,
